nof_samples,trace_0
1321,-98.0107
1322,-98.0874
1323,-100.962
1324,-101.48
1325,-101.427
1326,-101.519
1327,-101.889
1328,-101.428
1329,-101.531
1330,-101.565
1331,-101.276
1332,-101.102
1333,-101.103
1334,-101.186
1335,-101.228
1336,-100.988
1337,-100.978
1338,-101.181
1339,-101.269
1340,-101.334
1341,-98.0088
1342,-96.679
1343,-96.0811
1344,-96.3247
1345,-96.1377
1346,-95.6121
1347,-95.3945
1348,-94.7385
1349,-94.2733
1350,-94.553
1351,-95.1784
1352,-96.3602
1353,-96.3062
1354,-95.8417
1355,-95.3257
1356,-94.3452
1357,-96.3439
1358,-96.9346
1359,-97.3815
1360,-97.5082
1361,-97.5621
1362,-98.4383
1363,-98.7946
1364,-99.0075
1365,-98.5582
1366,-98.1723
1367,-98.4545
1368,-98.744
1369,-98.7191
1370,-98.6384
1371,-98.7776
1372,-98.9277
1373,-98.4836
1374,-99.6111
1375,-99.7708
1376,-99.781
1377,-99.7782
1378,-99.7645
1379,-99.7645
1380,-99.7738
1381,-99.7762
1382,-99.8231
1383,-99.8262
1384,-99.7799
1385,-99.7617
1386,-99.7539
1387,-99.7659
1388,-99.7155
1389,-99.7074
1390,-99.7038
1391,-98.7087
1392,-98.4986
1393,-98.64
1394,-98.5345
1395,-98.662
1396,-98.6229
1397,-98.735
1398,-98.6796
1399,-98.6329
1400,-98.5752
1401,-98.5028
1402,-98.4821
1403,-98.1861
1404,-98.326
1405,-98.0599
1406,-97.8853
1407,-97.7348
1408,-97.9933
1409,-97.7776
1410,-97.8813
1411,-99.4799
1412,-99.8605
1413,-99.9414
1414,-99.9141
1415,-99.9609
1416,-99.9191
1417,-99.9795
1418,-100.032
1419,-100.022
1420,-100.008
1421,-100.081
1422,-100.078
1423,-100.054
1424,-100.027
1425,-100.021
1426,-100.003
1427,-99.9686
1428,-100.053
1429,-99.3942
1430,-99.1795
1431,-99.1572
1432,-99.1459
1433,-99.1906
1434,-99.1783
1435,-99.0146
1436,-99.3053
1437,-99.4032
1438,-99.3187
1439,-99.4002
1440,-99.3607
1441,-99.3116
1442,-99.4934
1443,-99.5169
1444,-99.5155
1445,-99.4915
1446,-99.3925
1447,-99.3472
1448,-99.4182
1449,-97.2067
1450,-96.2336
1451,-94.0613
1452,-93.1923
1453,-93.4002
1454,-93.118
1455,-93.4905
1456,-93.7881
1457,-93.132
1458,-92.4281
1459,-92.3925
1460,-93.2917
1461,-93.766
1462,-93.6959
1463,-93.5361
1464,-92.2553
1465,-92.4959
1466,-92.3403
1467,-97.8562
1468,-99.5448
1469,-100.048
1470,-100.104
1471,-100.107
1472,-100.092
1473,-100.1
1474,-100.11
1475,-100.111
1476,-100.113
1477,-100.112
1478,-100.114
1479,-100.118
1480,-100.123
1481,-100.156
1482,-100.139
1483,-100.137
1484,-100.139
1485,-100.109
1486,-101.927
1487,-102.419
1488,-103.703
1489,-104.193
1490,-104.522
1491,-104.415
1492,-104.814
1493,-105.058
1494,-105.204
1495,-105.422
1496,-105.771
1497,-105.459
1498,-106.162
1499,-106.394
1500,-106.223
1501,-105.637
1502,-105.934
1503,-105.921
1504,-105.781
1505,-106.126
1506,-101.646
1507,-99.9182
1508,-99.246
1509,-99.0053
1510,-98.9566
1511,-98.863
1512,-99.0693
1513,-99.0168
1514,-99.0742
1515,-98.9556
1516,-99.0628
1517,-98.849
1518,-98.7034
1519,-98.8833
1520,-98.9004
1521,-99.3039
1522,-99.1247
1523,-99.0893
1524,-99.0054
1525,-101.042
1526,-101.523
1527,-101.817
1528,-102.149
1529,-101.898
1530,-102.335
1531,-102.289
1532,-102.139
